"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"188" -103.25 55.25 "Control" 42 0 0 32 3 270 3 0 219 12 0.18 0.04 0 0.51 0.17
"189" -95.25 57.25 "Control" 11 0 0 24 0 132 0 0 300 0 0.03 0.01 0 0.41 0.02
"190" -68.75 50.75 "Control" 27 0 0 24 1 156 0 0 204 1 0.36 0 0 0.11 0.12
"191" 25.25 65.75 "Control" 61 0 0 26 3 382 0 0 164 10 3.23 0 0 0 0
"192" 26.75 66.25 "Control" 40 1 0 25 0 220 1 0 160 1 0.13 0.14 0 0.65 0.16
"193" 30.25 68.25 "Control" 152 0 0 184 0 2368 0 0 2912 0 4.76 0 0 1.16 1.44
"194" 37.25 63.75 "Control" 248 0 0 152 0 3232 32 0 2240 32 0.16 0.24 0 4.12 0.28
"195" 57.25 65.25 "Control" 7 0 0 10 0 80 0 0 143 0 1.54 0 0 0.05 0.07
"196" 79.25 62.25 "Control" 8 0 0 11 0 171 0 0 171 0 0.85 0 0 0.06 0.19
"197" 79.75 64.25 "Control" 24 0 0 48 0 1488 0 0 2080 0 5.76 0 0 0.84 0.56
"198" 86.75 59.25 "Control" 8 0 0 17 0 88 1 0 165 0 2.03 0.14 0 0.05 0.43
"199" 86.75 61.75 "Control" 2 0 0 13 0 19 1 0 139 1 0.02 0 0 0.38 2.93
"200" 94.75 57.75 "Control" 9 0 0 23 0 94 5 0 214 1 0.21 0.36 0 0.76 0.46
"201" 103.75 55.75 "Control" 0 0 0 31 3 57 0 0 171 11 0.43 0.05 0 0.37 0.52
"202" 116.75 51.75 "Control" 12 0 0 25 1 88 0 0 148 1 0 0 0 0 9.62
"203" 139.25 49.25 "Control" 28 0 0 22 0 215 0 0 201 0 0.33 0 0 0.25 0.14
"204" 139.25 53.75 "Control" 50 0 0 27 1 337 0 0 181 2 0.31 0.01 0 0.27 0.11
"205" 140.25 49.75 "Control" 55 0 0 24 2 401 0 0 179 11 1.05 0.02 0 0.19 0.42
"206" 140.75 58.75 "Control" 21 0 0 21 85 103 0 0 246 85 0.15 0 0 0.13 0.08
"207" -126.25 64.25 "Control" 51 0 0 30 14 266 0 0 198 17 1.04 0 0 0.2 0.17
"208" -114.25 56.25 "Control" 32 1 0 33 3 156 2 0 133 8 0.16 8.31 0 0.11 0.99
"209" -103.75 54.25 "Control" 27 6 0 39 2 146 6 0 175 6 0.06 0.12 0 0.54 0.11
"210" -101.75 53.75 "Control" 32 9 0 27 1 180 10 0 134 2 0.32 0.36 0 0.88 0.49
